Type,Sound File Name,Text to Paste,Category,Vibe / Keywords,Speaker Details
Custom Sound,vroom.wav,(vroom),SFX & UI,"Car, Engine, Fast, Racing",N/A
Custom Sound,wah wah - charlie brown.wav,(wah wah - charlie brown),Pop Culture & Media,"Charlie Brown, Teacher, Muffled, Boring, Talking",N/A
Custom Sound,wait a minute.wav,(wait a minute),Internet & Memes,"Pause, Realization, Holup",
Custom Sound,Wait WHAT.wav,(Wait WHAT),Human Vocals,"Shocked, Disbelief, Loud, Plot Twist",
Custom Sound,wakin up in the morning.wav,(wakin up in the morning),Pop Culture & Media,"Real Housewives, Gia Giudice, Sad, TikTok, Relatable","Female, Child"
Custom Sound,wassup take me out to dinner.wav,(wassup take me out to dinner),Internet & Memes,"TikTok, Date, Flirty, Direct",Male
Custom Sound,watching you bitch - die tonight.wav,(watching you bitch - die tonight),Pop Culture & Media,"Aggressive, Threat, Horror, Toxic",
Custom Sound,wazzup.wav,(wazzup),Pop Culture & Media,"Budweiser, Scary Movie, Tongue Out, Hype, Loud","Group, Males"
Custom Sound,we do not care.wav,(we do not care),Internet & Memes,"Mike Tomlin, Dismissive, Blunt, Cold","Male, Adult"
Custom Sound,weee.wav,(weee),Human Vocals,"High Energy, Slide, Rollercoaster, Goofy",
Custom Sound,what - liljohn.wav,(what - liljohn),Pop Culture & Media,"Lil Jon, Rap, Hype, Confused, Loud","Male, Adult"
Custom Sound,what are you waiting for - incredibles.wav,(what are you waiting for - incredibles),Pop Culture & Media,"The Incredibles, Kid on Tricycle, Impressed, Staring","Male, Child"
Custom Sound,what happened - you you didnt used to.wav,(what happened - you you didnt used to),Pop Culture & Media,"Disappointment, Sad, Change, Drama",
Custom Sound,what the dog doin.wav,(what the dog doin),Internet & Memes,"Viral, Dog, Curious, Random","Male, Adult"
Custom Sound,what the fuck - brian.wav,(what the fuck - brian),Pop Culture & Media,"Family Guy, Brian, Shocked, Aggressive, Swear","Male, Dog"
Custom Sound,what the hell is that.wav,(what the hell is that),Human Vocals,"Shocked, Disgusted, Confused, Loud",
Custom Sound,what the hellllllll.wav,(what the hellllllll),Internet & Memes,"TikTok, Singing, Shocked, Dragged Out","Male, Adult"
Custom Sound,what was the reason.wav,(what was the reason),Internet & Memes,"Cardi B, Screaming, Drama, Demanding, Viral","Female, Adult"
Custom Sound,whatchu doin - all that ass.wav,(whatchu doin - all that ass),Internet & Memes,"Rap, Suggestive, Flirty, Slang",Male
Custom Sound,whateva i do what i want - cartman.wav,(whateva i do what i want - cartman),Pop Culture & Media,"South Park, Cartman, Defiant, Bratty","Male, Child"
Custom Sound,whatever you bitch.wav,(whatever you bitch),Human Vocals,"Dismissive, Insult, Rude, Swear",
Custom Sound,whats this.wav,(whats this),Pop Culture & Media,"Nightmare Before Christmas, Jack Skellington, Curious",Male
Custom Sound,whats up bitches.wav,(whats up bitches),Pop Culture & Media,"Arrival, Bold, Hype, Greeting, Swear",
Custom Sound,whats up doc.wav,(whats up doc),Pop Culture & Media,"Looney Tunes, Bugs Bunny, Casual, Greeting","Male, Rabbit"
Custom Sound,wheres my money bitch.wav,(wheres my money bitch),Pop Culture & Media,"Breaking Bad, Stewie Vibe, Demanding, Angry",Male
Custom Sound,wheres the boy.wav,(wheres the boy),Pop Culture & Media,"Drama, Demanding, Searching",
Custom Sound,whip this bitch in the face.wav,(whip this bitch in the face),Internet & Memes,"Vine, Aggressive, Extreme Sports, Chaos",Male
Custom Sound,who ARE you.wav,(who ARE you),Human Vocals,"Judgmental, Dismissive, Rude, Question",
Custom Sound,who the hell cares.wav,(who the hell cares),Pop Culture & Media,"Family Guy, Peter Griffin, Dismissive, Bored, Rude","Male, Adult"
Custom Sound,whoopsies.wav,(whoopsies),Human Vocals,"Mistake, Sarcastic, Clumsy",
Custom Sound,why are you gay.wav,(why are you gay),Internet & Memes,"News Interview, Uganda, Blunt, Confused","Male, Adult"
Custom Sound,why are you running.wav,(why are you running),Internet & Memes,"Nigerian Movie, Shouting, Chase, Panic","Male, Adult"
Custom Sound,why are you the way that you are.wav,(why are you the way that you are),Pop Culture & Media,"The Office, Michael Scott, Toby, Annoyed, Hopeless","Male, Adult"
Custom Sound,why is it spicy.wav,(why is it spicy),Internet & Memes,"TikTok, Kid, Cute, Burning, Food",Child
Custom Sound,WHYY.wav,(WHYY),Human Vocals,"Anguish, Dramatic, Crying, Desperate",
Custom Sound,womp womp.wav,(womp womp),Internet & Memes,"Mocking, Sad Trombone, Savage, Dismissive, Fail","Male, Adult"
Custom Sound,woohoo - homer.wav,(woohoo - homer),Pop Culture & Media,"The Simpsons, Homer, Happy, Celebration, Win","Male, Adult"
Custom Sound,woosh.wav,(woosh),SFX & UI,"Wind, Fast, Missed the Joke, Flying",N/A
Custom Sound,wouldnt you like to know.wav,(wouldnt you like to know),Internet & Memes,"Weather Boy, Sassy, Kid, Smartass","Male, Child"
Custom Sound,wtf is that supposed to mean.wav,(wtf is that supposed to mean),Human Vocals,"Defensive, Confused, Argument, Offended",
Custom Sound,ya jackfaced butthole.wav,(ya jackfaced butthole),Human Vocals,"Safe Insult, Goofy, Childish",
Custom Sound,yahoo - mario.wav,(yahoo - mario),Pop Culture & Media,"Nintendo, Mario, Jump, Hype, Gaming",Male
Custom Sound,yeaaah - lil john.wav,(yeaaah - lil john),Pop Culture & Media,"Lil Jon, Rap, Hype, Loud","Male, Adult"
Custom Sound,yeah boi.wav,(yeah boi),Internet & Memes,"Longest Yeah Boy, Viral, Hype, Celebration","Male, Teens"
Custom Sound,yep thats me.wav,(yep thats me),Pop Culture & Media,"Movie Intro, Record Scratch, Freeze Frame, Relatable",Male
Custom Sound,yes - female.wav,(yes - female),Human Vocals,"Agreement, Confirm, Polite",Female
Custom Sound,ykw hell yeah.wav,(ykw hell yeah),Internet & Memes,"Flavor Flav Vibe, Hype, Agreement, Energetic",Male
Custom Sound,yooooooooooooooooou.wav,(yooooooooooooooooou),Pop Culture & Media,"Soulja Boy, Crank That, Intro, Hype, Loud","Male, Adult"
Custom Sound,yoshi tongue.wav,(yoshi tongue),Pop Culture & Media,"Nintendo, Yoshi, Mlem, Eat, Gaming",N/A
Custom Sound,You bastard!.wav,(You bastard!),Pop Culture & Media,"South Park, Kenny, Angry, Shouting",Male
Custom Sound,you can run but you cant hide.wav,(you can run but you cant hide),Pop Culture & Media,"Rick and Morty, Scary Terry, Threat, Horror",Male
Custom Sound,you cant tell me what to do.wav,(you cant tell me what to do),Human Vocals,"Defiant, Bratty, Stubborn",
Custom Sound,you dont wanna know.wav,(you dont wanna know),Human Vocals,"Warning, Ominous, Secret",
Custom Sound,you fat bitch.wav,(you fat bitch),Human Vocals,"Aggressive, Direct Insult, Angry, Swear",
Custom Sound,you get nothing - you lose!.wav,(you get nothing - you lose!),Pop Culture & Media,"Willy Wonka, Gene Wilder, Screaming, Fail, Lose","Male, Adult"
Custom Sound,you know what it is bitch.wav,(you know what it is bitch),Internet & Memes,"Vine, Sassy, Threat, Attitude",Female
Custom Sound,you my boo.wav,(you my boo),Internet & Memes,"Affectionate, Cute, R&B Vibe",
Custom Sound,you poked my heart.wav,(you poked my heart),Internet & Memes,"Viral, Kid Argument, Cute, Dramatic, Hurt","Female, Child"
Custom Sound,you wanna know something.wav,(you wanna know something),Human Vocals,"Secret, Whisper, Announcement",
Custom Sound,your breath is dog shit.wav,(your breath is dog shit),Pop Culture & Media,"Step Brothers, Direct Insult, Gross, Blunt","Male, Adult"
Custom Sound,youre cheap.wav,(youre cheap),Pop Culture & Media,"The Room, Tommy Wiseau, Drama, Melodramatic","Male, Adult"
Custom Sound,youre coming home with me.wav,(youre coming home with me),Human Vocals,"Kidnapping Vibe, Threat, Out of Context",
Custom Sound,youre goddamn right.wav,(youre goddamn right),Pop Culture & Media,"Breaking Bad, Walter White, Heisenberg, Alpha","Male, Adult"
Custom Sound,youre so stupid.wav,(youre so stupid),Human Vocals,"Insult, Mean, Judgmental",
Custom Sound,youre welcome.wav,(youre welcome),Human Vocals,"Polite, Sarcastic, Finished",
Custom Sound,youths.wav,(youths),Pop Culture & Media,"New Girl, Schmidt, Judgmental, Annoyed","Male, Adult"
Custom Sound,youuuu - soulja boy.wav,(youuuu - soulja boy),Pop Culture & Media,"Soulja Boy, Hype, Classic Meme","Male, Adult"
